City,County,State,Min Year,Max Year,Year Difference,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Los Angeles,Los Angeles,California,2001,2015,14,Los Angeles,Los Angeles,CA,California,6037.0,Los Angeles,34.1141,-118.4068,11885717.0,3165.8,shape,False,True,America/Los_Angeles,1.0,90291 90293 90292 91316 91311 90035 90034 90037 90031 90039 90008 90004 90005 90006 90007 90001 90002 90003 91504 90710 90089 91306 91344 91345 91340 91342 91343 90036 90247 90248 91436 91371 91608 91605 91604 91607 91606 91601 91602 90402 90068 90069 90062 90063 90061 90066 90067 90064 90065 91326 91324 91325 90013 90012 90011 90010 90017 90016 90015 90014 90019 90095 90094 91042 91040 91411 91352 91356 90041 90042 90043 90044 90045 90046 90047 90048 90049 90018 91423 90210 91303 91304 91307 90079 90071 90077 91331 91330 91335 90026 90027 90024 90025 90023 90020 90021 90029 90272 90732 90731 90028 90230 91406 91405 91403 91402 91401 91367 91364 90033 90032 90038 90057 90052 90059 90058 90744 90501 90502 90009 90030 90050 90051 90053 90054 90055 90060 90070 90072 90074 90075 90076 90078 90080 90081 90082 90083 90084 90085 90086 90087 90088 90093 90099 90134 90140 90189 90213 90294 90295 90733 90734 90748 91041 91043 91305 91308 91309 91313 91327 91328 91333 91334 91337 91346 91353 91357 91365 91392 91393 91394 91395 91396 91404 91407 91408 91409 91410 91412 91413 91416 91426 91470 91482 91499 91603 91609 91610 91614 91615 91616 91617 91618,1840020491.0
Los Angeles,Los Angeles,California,2001,2015,14,Los Angeles,Los Angeles,TX,Texas,48489.0,Willacy,26.4947,-97.7862,400.0,450.8,shape,False,True,America/Chicago,3.0,78580,1840042609.0
Victorville,San Bernardino,California,2001,2015,14,Victorville,Victorville,CA,California,6071.0,San Bernardino,34.5277,-117.3536,363596.0,712.3,shape,False,True,America/Los_Angeles,2.0,92394 92395 92392 92393,1840021731.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,DC,District of Columbia,11001.0,District of Columbia,38.9047,-77.0163,5146120.0,4245.2,shape,False,True,America/New_York,1.0,20250 20010 20011 20012 20015 20520 20064 20418 20415 20388 20319 20020 20024 20510 20515 20591 20427 20422 20542 20540 20240 20245 20390 20005 20004 20003 20002 20001 20009 20008 20016 20317 20059 20057 20052 20017 20018 20565 20566 20560 20220 20551 20019 20230 20373 20260 20007 20006 20032 20036 20037 20204 20431 20045 20408 20535 20530 20013 20022 20026 20027 20029 20030 20033 20035 20038 20039 20040 20042 20043 20044 20047 20049 20050 20053 20055 20056 20058 20060 20061 20062 20063 20065 20066 20067 20068 20069 20070 20071 20073 20074 20075 20076 20077 20078 20080 20081 20082 20090 20091 20201 20202 20203 20206 20207 20208 20210 20211 20212 20213 20214 20215 20216 20217 20218 20219 20221 20222 20223 20224 20226 20227 20228 20229 20232 20233 20235 20237 20238 20239 20241 20242 20244 20251 20252 20254 20261 20262 20265 20266 20268 20270 20277 20289 20299 20301 20303 20306 20310 20314 20318 20330 20340 20350 20355 20370 20372 20374 20375 20376 20380 20389 20391 20392 20393 20394 20395 20398 20401 20402 20403 20404 20405 20406 20407 20410 20411 20412 20413 20414 20416 20417 20419 20420 20421 20423 20424 20425 20426 20428 20429 20433 20434 20435 20436 20437 20439 20440 20441 20442 20444 20447 20451 20453 20456 20460 20463 20468 20469 20470 20472 20500 20501 20502 20503 20504 20505 20506 20507 20508 20509 20511 20521 20522 20523 20524 20525 20526 20527 20528 20529 20531 20533 20534 20536 20537 20538 20539 20541 20543 20544 20546 20547 20548 20549 20552 20553 20554 20555 20557 20559 20570 20571 20572 20573 20575 20576 20577 20578 20579 20580 20581 20585 20586 20590 20593 20594 20597 20599 56901 56902 56904 56908 56915 56920 56933 56935 56944 56945 56950 56965 56967 56972 56998 56999,1840006060.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,UT,Utah,49053.0,Washington,37.1303,-113.4878,30686.0,328.0,shape,False,True,America/Denver,3.0,84780 84771,1840021561.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,IL,Illinois,17179.0,Tazewell,40.705,-89.434,15946.0,720.1,shape,False,True,America/Chicago,3.0,61571,1840010377.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,MO,Missouri,29071.0,Franklin,38.5515,-91.0154,14948.0,580.0,shape,False,True,America/Chicago,3.0,63090,1840010770.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,PA,Pennsylvania,42125.0,Washington,40.1741,-80.2465,13361.0,1761.2,shape,False,True,America/New_York,3.0,15301,1840003668.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,IN,Indiana,18027.0,Daviess,38.6586,-87.1591,12192.0,705.7,shape,False,True,America/Indiana/Vincennes,3.0,47501,1840010735.0
Washington,District of Columbia,District Of Columbia,2000,2014,14,Washington,Washington,NC,North Carolina,37013.0,Beaufort,35.5586,-77.0545,9754.0,459.8,shape,False,True,America/New_York,3.0,27817 27889,1840015401.0
